date,home_team,away_team,team,minute
1981-04-29,Yugoslavia,Greece,Yugoslavia,42.0
1981-04-29,Yugoslavia,Greece,Greece,76.0
1981-05-01,Algeria,Niger,Algeria,44.0
1981-05-27,Czechoslovakia,Iceland,Czechoslovakia,44.0
1981-05-28,Austria,Bulgaria,Austria,30.0
1981-06-03,Sweden,Northern Ireland,Sweden,50.0
1981-06-06,Hungary,England,England,73.0
1981-06-10,Australia,Taiwan,Australia,68.0
1981-08-09,Uruguay,Colombia,Uruguay,88.0
1981-08-14,Australia,Fiji,Australia,71.0
1981-08-16,Peru,Colombia,Peru,72.0
1981-09-02,Finland,Albania,Albania,47.0
1981-09-09,Netherlands,Republic of Ireland,Netherlands,64.0
1981-09-09,Scotland,Sweden,Scotland,80.0
1981-09-13,Colombia,Uruguay,Colombia,12.0
1981-09-13,Colombia,Uruguay,Uruguay,43.0
1981-10-10,German DR,Poland,German DR,53.0
1981-10-10,New Zealand,Kuwait,Kuwait,61.0
1981-11-15,Morocco,Cameroon,Cameroon,15.0
1981-11-18,Germany,Albania,Germany,68.0
1981-11-19,El Salvador,Haiti,El Salvador,18.0
1981-11-22,Germany,Bulgaria,Germany,62.0
1981-11-28,New Zealand,Saudi Arabia,New Zealand,5.0
1981-11-29,Cameroon,Morocco,Cameroon,15.0
1981-11-29,Cameroon,Morocco,Morocco,25.0
1981-12-19,Saudi Arabia,New Zealand,New Zealand,43.0
1982-06-05,Malta,Iceland,Iceland,51.0
1982-06-16,Spain,Honduras,Spain,65.0
1982-06-17,Czechoslovakia,Kuwait,Czechoslovakia,21.0
1982-06-20,Spain,Yugoslavia,Spain,14.0
1982-06-23,Argentina,El Salvador,Argentina,22.0
1982-06-24,Algeria,Chile,Chile,59.0
1982-06-24,France,Czechoslovakia,Czechoslovakia,84.0
1982-06-24,Honduras,Yugoslavia,Yugoslavia,88.0
1982-07-08,Germany,France,France,26.0
1982-09-08,Finland,Poland,Poland,16.0
1982-09-22,Denmark,England,Denmark,68.0
1982-10-09,Luxembourg,Greece,Greece,7.0
1982-10-27,Bulgaria,Norway,Norway,17.0
1982-11-10,Luxembourg,Denmark,Denmark,31.0
1982-11-17,Austria,Turkey,Austria,38.0
1982-12-19,Malta,Netherlands,Netherlands,22.0
1983-02-16,Spain,Netherlands,Spain,44.0
1983-03-30,Albania,Germany,Germany,68.0
